frame,infer_ms
0,63.314
1,52.542
2,52.320
3,52.425
4,52.264
5,52.190
6,52.221
7,52.306
8,52.553
9,52.292
10,52.580
11,52.523
12,52.377
13,53.092
14,52.316
15,52.189
16,52.389
17,52.358
18,52.296
19,52.105
20,52.265
21,52.298
22,52.417
23,52.873
24,52.119
25,52.256
26,52.446
27,52.641
28,52.428
29,52.204
30,52.193
31,52.242
32,52.972
33,52.463
34,52.607
35,52.629
36,52.488
37,52.293
38,52.088
39,52.203
40,52.321
41,52.211
42,52.552
43,52.196
44,52.319
45,53.105
46,52.862
47,52.825
48,52.672
49,52.717
50,52.615
51,53.492
52,52.735
53,52.775
54,52.561
55,52.403
56,52.819
57,52.638
58,52.458
59,52.814
60,53.078
61,52.596
62,52.751
63,52.607
64,52.799
65,52.887
66,52.913
67,52.637
68,52.520
69,52.513
70,53.037
71,52.717
72,52.568
73,53.018
74,52.572
75,52.530
76,52.600
77,52.630
78,52.584
79,53.101
80,52.709
81,52.945
82,52.650
83,52.446
84,52.628
85,52.644
86,52.636
87,52.639
88,52.822
89,52.593
90,52.572
91,52.726
92,52.656
93,52.558
94,52.553
95,52.721
96,52.424
97,52.513
98,53.013
99,52.494
100,52.482
101,52.675
102,52.582
103,52.430
104,52.537
105,52.695
106,52.708
107,53.113
108,52.699
109,52.619
110,52.585
111,52.522
112,52.662
113,52.833
114,52.749
115,52.633
116,52.559
117,53.154
118,52.739
119,52.645
120,52.561
121,52.527
122,52.623
123,52.787
124,52.642
125,52.620
126,53.130
127,52.800
128,52.678
129,52.586
130,52.661
131,52.711
132,52.624
133,52.684
134,52.546
135,53.072
136,52.583
137,52.767
138,52.498
139,52.494
140,52.483
141,52.612
142,52.656
143,52.582
144,52.557
145,53.029
146,52.538
147,52.678
148,52.713
149,52.722
150,52.536
151,52.562
152,52.575
153,52.583
154,52.941
155,52.542
156,52.629
157,52.801
158,52.636
159,52.636
160,52.605
161,52.537
162,52.619
163,52.568
164,52.758
165,52.457
166,53.198
167,52.607
168,52.571
169,52.652
170,52.626
171,52.481
172,52.599
173,53.201
174,52.623
175,52.672
176,52.702
177,52.683
178,52.611
179,52.557
180,52.532
181,52.457
182,53.043
183,52.525
184,52.536
185,52.795
186,52.672
187,52.670
188,52.579
189,52.639
190,52.541
191,52.694
192,52.930
193,52.795
194,52.674
195,52.568
196,52.609
197,52.714
198,52.592
199,52.536
200,52.723
201,53.097
202,52.636
203,52.556
204,52.540
205,52.526
206,52.735
207,52.638
208,52.572
209,52.714
210,52.997
211,52.587
212,52.638
213,52.609
214,52.616
215,52.648
216,52.560
217,52.537
218,52.565
219,52.523
220,52.997
221,52.823
222,52.566
223,52.845
224,52.555
225,52.618
226,52.871
227,52.534
228,52.616
229,53.130
230,52.763
231,52.571
232,52.548
233,52.532
234,52.608
235,52.559
236,52.505
237,52.587
238,52.573
239,52.920
240,52.703
241,52.577
242,52.601
243,52.586
244,52.589
245,52.614
246,52.692
247,52.496
248,53.203
249,52.487
250,52.659
251,52.604
252,52.654
253,52.475
254,52.592
255,52.585
256,52.803
257,53.108
258,52.539
259,52.690
260,52.590
261,52.514
262,52.717
263,52.841
264,52.588
265,52.545
266,52.508
267,53.160
268,52.660
269,52.563
270,52.543
271,52.665
272,52.549
273,52.656
274,52.650
275,52.577
276,53.047
277,52.747
278,52.366
279,52.590
280,52.536
281,52.596
282,52.484
283,52.487
284,52.616
285,52.589
286,52.782
287,52.748
288,52.639
289,52.491
290,52.631
291,52.478
292,52.626
293,52.774
294,52.632
295,53.074
296,52.770
297,52.582
298,52.586
299,52.823
300,52.671
301,52.516
302,52.575
303,52.534
304,52.758
305,52.482
306,52.604
307,52.596
308,52.709
309,52.767
310,52.536
311,52.667
312,52.605
313,52.580
314,53.138
315,52.722
316,52.736
317,52.656
318,52.629
319,52.573
320,52.626
321,52.530
322,52.419
323,53.240
324,52.528
325,52.573
326,52.651
327,52.786
328,52.826
329,52.653
330,52.871
331,52.685
332,52.598
333,52.984
334,52.569
335,52.676
336,52.559
337,52.781
338,52.665
339,52.728
340,52.627
341,52.678
342,53.186
343,52.666
344,52.502
345,52.712
346,52.638
347,52.617
348,52.641
349,52.608
350,52.605
351,52.779
352,52.605
353,52.532
354,53.016
355,53.323
356,53.184
357,53.262
358,53.040
359,53.005
360,52.771
361,53.138
362,53.351
363,53.014
364,52.987
365,53.015
366,52.876
367,52.910
368,52.831
369,53.070
370,53.404
371,52.878
372,52.957
373,52.891
374,52.894
375,52.984
376,52.894
377,53.052
378,53.007
379,53.202
380,52.897
381,52.815
382,53.238
383,52.874
384,53.004
385,52.918
386,52.888
387,52.900
388,52.890
389,53.680
390,52.953
391,52.890
392,52.862
393,52.820
394,52.968
395,52.996
396,52.857
397,53.022
398,53.483
399,53.096
400,52.915
401,52.919
402,53.064
403,52.776
404,52.933
405,52.972
406,53.161
407,53.288
408,52.881
409,53.132
410,52.873
411,52.916
412,53.017
413,52.979
414,52.851
415,53.189
416,53.177
417,52.853
418,52.862
419,53.054
420,53.280
421,53.161
422,52.923
423,52.876
424,52.812
425,52.888
426,53.513
427,53.075
428,52.927
429,53.023
430,52.944
431,52.906
432,52.959
433,52.931
434,52.860
435,53.182
436,53.072
437,52.928
438,52.844
439,53.026
440,53.142
441,53.026
442,53.121
443,53.004
444,52.856
445,53.332
446,52.950
447,52.995
448,52.957
449,52.899
450,52.815
451,52.955
452,52.943
453,52.971
454,53.360
455,53.011
456,52.795
457,53.387
458,53.018
459,53.022
460,52.806
461,52.824
462,52.853
463,53.396
464,52.754
465,52.928
466,52.915
467,52.901
468,52.775
469,52.845
470,53.000
471,53.175
472,53.089
473,53.296
474,52.890
475,52.692
476,52.938
477,52.952
478,52.923
479,52.870
480,52.804
481,52.790
482,53.463
483,53.017
484,52.939
485,53.051
486,53.003
487,52.862
488,52.816
489,52.983
490,52.954
491,53.684
492,52.896
493,52.938
494,52.941
495,52.960
496,53.028
497,53.024
498,52.839
499,53.032
500,53.047
501,53.397
502,53.605
503,52.984
504,53.082
505,52.952
506,52.883
507,52.874
508,52.741
509,52.912
510,53.348
511,52.883
512,52.889
513,53.047
514,53.088
515,52.745
516,52.922
517,52.923
518,52.966
519,53.354
520,53.000
521,52.937
522,52.821
523,52.931
524,52.832
525,52.781
526,52.918
527,52.965
528,52.788
529,53.306
530,53.029
531,53.103
532,52.780
533,52.899
534,52.959
535,52.941
536,52.865
537,53.200
538,53.396
539,53.029
540,53.058
541,52.986
542,52.883
543,52.849
544,52.924
545,53.018
546,52.959
547,53.228
548,53.330
549,52.911
550,52.955
551,52.804
552,52.963
553,52.868
554,52.851
555,52.846
556,53.076
557,53.579
558,52.961
559,52.984
560,52.894
561,53.073
562,52.941
563,53.070
564,53.030
565,52.965
566,53.441
567,53.061
568,53.100
569,53.079
570,52.794
571,52.869
572,52.930
573,53.029
574,53.100
575,53.510
576,52.892
577,53.186
578,52.895
579,52.872
580,52.888
581,52.976
582,52.830
583,52.970
584,52.925
585,53.412
586,53.143
587,52.990
588,52.875
589,52.832
590,52.896
591,52.764
592,53.027
593,53.035
594,53.361
595,52.828
596,52.701
597,52.800
598,52.933
599,52.971
600,52.966
601,52.795
602,52.767
603,53.439
604,52.933
605,53.006
606,52.986
607,53.014
608,52.930
609,52.818
610,53.163
611,52.882
612,52.766
613,53.390
614,52.887
615,52.868
616,52.841
617,52.966
618,52.837
619,52.812
620,52.948
621,52.819
622,53.314
623,52.763
624,52.840
625,52.709
626,52.837
627,52.961
628,53.023
629,53.012
630,52.727
631,52.962
632,53.473
633,52.998
634,53.059
635,52.900
636,53.029
637,52.921
638,52.878
639,52.848
640,53.489
641,53.574
642,53.675
643,53.032
644,52.919
645,52.922
646,52.805
647,53.708
648,52.804
649,52.863
650,53.378
651,52.891
652,52.944
653,52.861
654,53.077
655,52.803
656,52.997
657,53.023
658,52.886
659,53.114
660,53.014
661,53.004
662,52.825
663,52.703
664,52.785
665,52.853
666,52.857
667,52.854
668,52.818
